1,false,"I'm only going to mention puppies a little"
3,false,"I'm only going to mention"
4,false,"I'm only going to mention"
5,false,"I'm only going to mention"
6,false,"I'm only going to mention"
7,false,"I'm only going to mention"
8,false,"I'm only going to mention"
9,false,"I'm only going to mention"
10,false,"I'm only going to mention"
11,false,"I'm going to mention puppies a little more"
12,false,"I'm going to mention puppies"
13,false,"I'm going to mention puppies"
14,false,"I'm going to mention"
15,false,"I'm going to mention"
16,false,"I'm going to mention"
17,false,"I'm going to mention"
18,false,"I'm going to mention"
19,false,"I'm going to mention"
20,false,"I'm going to mention puppies a lot"
21,false,"I'm going to mention puppies"
22,false,"I'm going to mention puppies"
23,false,"I'm going to mention puppies"
24,false,"I'm going to mention puppies"
25,false,"I'm going to mention puppies"
26,false,"I'm going to mention puppies"
27,false,"I'm going to mention puppies"
28,false,"I'm going to mention"
29,false,"I'm going to mention"
30,false,"I'm going to mention puppies a ton"
31,false,"I'm going to mention puppies"
32,false,"I'm going to mention puppies"
33,false,"I'm going to mention puppies"
34,false,"I'm going to mention puppies"
35,false,"I'm going to mention puppies"
36,false,"I'm going to mention puppies"
37,false,"I'm going to mention puppies"
38,false,"I'm going to mention puppies"
39,false,"I'm going to mention puppies"
40,false,"I'm going to mention puppies"
